ALUMNE,CORREU,GRUP,MP01,MP02,MP03,MP04,MP05,MP06,MP07,MP08,MP09,MP10,MP11,MP12,MP13,MP14,MP15
Alumne Núm. 1,alumnenum1@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 2,alumnenum2@elpuig.xeill.net,GA1,X,,X,,,,X,,X,X,,X,,,
Alumne Núm. 3,alumnenum3@elpuig.xeill.net,GA2,,,,X,,X,X,,,,X,,,,
Alumne Núm. 4,alumnenum4@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 5,alumnenum5@elpuig.xeill.net,SMX2B,,,,X,,X,,X,,,,,,,
Alumne Núm. 6,alumnenum6@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 7,alumnenum7@elpuig.xeill.net,SMX2A,,,X,X,,X,X,X,,X,,X,X,,
Alumne Núm. 8,alumnenum8@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 9,alumnenum9@elpuig.xeill.net,SMX2B,,,X,X,X,X,,,,,,X,X,,
Alumne Núm. 10,alumnenum10@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 11,alumnenum11@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,X,,,,,
Alumne Núm. 12,alumnenum12@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 13,alumnenum13@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 14,alumnenum14@elpuig.xeill.net,GA2,X,X,,X,X,X,,X,,,X,,X,,
Alumne Núm. 15,alumnenum15@elpuig.xeill.net,SMX2A,,,X,X,,X,X,X,,X,,X,X,,
Alumne Núm. 16,alumnenum16@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 17,alumnenum17@elpuig.xeill.net,SMX2B,,X,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 18,alumnenum18@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 19,alumnenum19@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 20,alumnenum20@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 21,alumnenum21@elpuig.xeill.net,SMX2A,,,X,X,,X,X,X,,X,,X,X,,
Alumne Núm. 22,alumnenum22@elpuig.xeill.net,SMX2C,,,,X,X,X,X,X,,X,X,X,X,,
Alumne Núm. 23,alumnenum23@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,,,X,X,,
Alumne Núm. 24,alumnenum24@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 25,alumnenum25@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 26,alumnenum26@elpuig.xeill.net,SMX2A,,,,,,,,,,,,X,X,,
Alumne Núm. 27,alumnenum27@elpuig.xeill.net,GA2,X,,,X,X,,,,,,,X,,,
Alumne Núm. 28,alumnenum28@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 29,alumnenum29@elpuig.xeill.net,GA2,X,,,X,,X,,,,,X,,,,
Alumne Núm. 30,alumnenum30@elpuig.xeill.net,SMX2C,,,,X,,X,X,,,,,X,,,
Alumne Núm. 31,alumnenum31@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 32,alumnenum32@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 33,alumnenum33@elpuig.xeill.net,SMX2C,,,,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 34,alumnenum34@elpuig.xeill.net,SMX2A,,X,,X,X,X,X,X,X,X,X,X,X,,
Alumne Núm. 35,alumnenum35@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 36,alumnenum36@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 37,alumnenum37@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 38,alumnenum38@elpuig.xeill.net,SMX2B,,,,X,X,,,,,,,,,,
Alumne Núm. 39,alumnenum39@elpuig.xeill.net,SMX2A,,,,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 40,alumnenum40@elpuig.xeill.net,SMX2A,,,X,X,,X,X,X,,X,,X,X,,
Alumne Núm. 41,alumnenum41@elpuig.xeill.net,GA2,X,,,X,X,X,X,X,,,X,,X,,
Alumne Núm. 42,alumnenum42@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 43,alumnenum43@elpuig.xeill.net,GA1,X,X,X,,X,,X,,,X,,X,,,
Alumne Núm. 44,alumnenum44@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 45,alumnenum45@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 46,alumnenum46@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 47,alumnenum47@elpuig.xeill.net,SMX2B,,,,X,,X,X,X,,,,X,,,
Alumne Núm. 48,alumnenum48@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,,,X,X,,
Alumne Núm. 49,alumnenum49@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 50,alumnenum50@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 51,alumnenum51@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 52,alumnenum52@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 53,alumnenum53@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 54,alumnenum54@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,,X,,,
Alumne Núm. 55,alumnenum55@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 56,alumnenum56@elpuig.xeill.net,SMX2B,,,,,X,X,,,,,,,X,,
Alumne Núm. 57,alumnenum57@elpuig.xeill.net,SMX2C,,,,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 58,alumnenum58@elpuig.xeill.net,GA2,,,,,,,X,,,,,,X,,
Alumne Núm. 59,alumnenum59@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 60,alumnenum60@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 61,alumnenum61@elpuig.xeill.net,SMX2A,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 62,alumnenum62@elpuig.xeill.net,GA2,X,,,X,X,,,,X,,,,,,
Alumne Núm. 63,alumnenum63@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 64,alumnenum64@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 65,alumnenum65@elpuig.xeill.net,GA2,X,,,,,,,X,X,,X,X,,,
Alumne Núm. 66,alumnenum66@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 67,alumnenum67@elpuig.xeill.net,GA2,X,,,X,X,,,,,,,X,,,
Alumne Núm. 68,alumnenum68@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 69,alumnenum69@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 70,alumnenum70@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 71,alumnenum71@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 72,alumnenum72@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 73,alumnenum73@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 74,alumnenum74@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 75,alumnenum75@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 76,alumnenum76@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 77,alumnenum77@elpuig.xeill.net,GA2,X,,,X,,X,X,X,X,X,X,,X,,
Alumne Núm. 78,alumnenum78@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 79,alumnenum79@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 80,alumnenum80@elpuig.xeill.net,SMX2A,,,X,X,,X,X,X,X,X,,X,X,,
Alumne Núm. 81,alumnenum81@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 82,alumnenum82@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 83,alumnenum83@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 84,alumnenum84@elpuig.xeill.net,GA2,X,,X,X,X,,,,,,,,,,
Alumne Núm. 85,alumnenum85@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 86,alumnenum86@elpuig.xeill.net,SMX2C,,,,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 87,alumnenum87@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 88,alumnenum88@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 89,alumnenum89@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 90,alumnenum90@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 91,alumnenum91@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 92,alumnenum92@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 93,alumnenum93@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 94,alumnenum94@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 95,alumnenum95@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 96,alumnenum96@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 97,alumnenum97@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 98,alumnenum98@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 99,alumnenum99@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 100,alumnenum100@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 101,alumnenum101@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 102,alumnenum102@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 103,alumnenum103@elpuig.xeill.net,GA1,X,X,X,,X,,X,,,X,,X,,,
Alumne Núm. 104,alumnenum104@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 105,alumnenum105@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 106,alumnenum106@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 107,alumnenum107@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 108,alumnenum108@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 109,alumnenum109@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,,X,,X,X,,
Alumne Núm. 110,alumnenum110@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 111,alumnenum111@elpuig.xeill.net,GA2,X,,,X,X,,,,,,,,,,
Alumne Núm. 112,alumnenum112@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 113,alumnenum113@elpuig.xeill.net,SMX2C,,,,X,,X,,,,,,,,,
Alumne Núm. 114,alumnenum114@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 115,alumnenum115@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 116,alumnenum116@elpuig.xeill.net,GA2,X,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 117,alumnenum117@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 118,alumnenum118@elpuig.xeill.net,SMX2B,,,X,X,X,X,X,X,X,X,,X,X,,
Alumne Núm. 119,alumnenum119@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 120,alumnenum120@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 121,alumnenum121@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 122,alumnenum122@elpuig.xeill.net,GA2,,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 123,alumnenum123@elpuig.xeill.net,SMX1A,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 124,alumnenum124@elpuig.xeill.net,GA1,X,X,X,,X,,X,,,X,,,,,
Alumne Núm. 125,alumnenum125@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,,,,
Alumne Núm. 126,alumnenum126@elpuig.xeill.net,GA1,,,,X,,X,,,,,X,,X,,
Alumne Núm. 127,alumnenum127@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 128,alumnenum128@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 129,alumnenum129@elpuig.xeill.net,SMX2C,,,,X,,X,,,X,,,,,,
Alumne Núm. 130,alumnenum130@elpuig.xeill.net,GA2,X,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 131,alumnenum131@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 132,alumnenum132@elpuig.xeill.net,SMX2C,,X,,X,X,X,X,X,X,X,,X,X,,
Alumne Núm. 133,alumnenum133@elpuig.xeill.net,SMX2B,,,,,,,X,X,,,,X,,,
Alumne Núm. 134,alumnenum134@elpuig.xeill.net,SMX1B,X,X,X,,X,X,,,X,,,,,,
Alumne Núm. 135,alumnenum135@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 136,alumnenum136@elpuig.xeill.net,SMX2A,,,,,,,,,,,,,X,,
Alumne Núm. 137,alumnenum137@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 138,alumnenum138@elpuig.xeill.net,SMX2B,,,,X,X,X,X,X,,,,X,,,
Alumne Núm. 139,alumnenum139@elpuig.xeill.net,SMX2B,,,,X,,X,X,X,,,,X,,,
Alumne Núm. 140,alumnenum140@elpuig.xeill.net,GA1,X,X,X,,X,,X,,X,X,,X,,,
Alumne Núm. 141,alumnenum141@elpuig.xeill.net,SMX2C,,,,X,,X,X,X,,X,X,X,X,,
Alumne Núm. 142,alumnenum142@elpuig.xeill.net,SMX1C,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 143,alumnenum143@elpuig.xeill.net,SMX2B,,,,X,X,X,X,X,,X,,X,,,
Alumne Núm. 144,alumnenum144@elpuig.xeill.net,GA2,X,,,X,X,,X,,X,,,,,,
Alumne Núm. 145,alumnenum145@elpuig.xeill.net,SMX2A,,,,X,,X,X,X,,X,,X,X,,
Alumne Núm. 146,alumnenum146@elpuig.xeill.net,SMX1B,X,X,X,,X,,,,X,,X,,,,
Alumne Núm. 147,alumnenum147@elpuig.xeill.net,SMX2B,,,,X,,X,X,X,X,X,,X,X,,
Alumne Núm. 148,alumnenum148@elpuig.xeill.net,GA2,X,,,X,,X,X,X,,,X,,X,,
Alumne Núm. 149,alumnenum149@elpuig.xeill.net,DAM2A,,X,X,,X,X,X,X,X,X,,,X,X,
Alumne Núm. 150,alumnenum150@elpuig.xeill.net,ASIX2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Alumne Núm. 151,alumnenum151@elpuig.xeill.net,ASIX2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Alumne Núm. 152,alumnenum152@elpuig.xeill.net,ASIX2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Alumne Núm. 153,alumnenum153@elpuig.xeill.net,DAM2A,,X,X,,X,X,X,X,X,X,,,X,X,
Alumne Núm. 154,alumnenum154@elpuig.xeill.net,AF2,,X,X,X,,X,,X,X,,X,,X,X,
